CITY_NAME,FAC_NAME,PRVDR_NUM,STATE_CD,ZIP_CD,lat,lon
AMERICAN FORK,AMERICAN FORK HOSPITAL,460023,UT,84003,40.37985836142577,-111.76697077644893
BOUNTIFUL,LAKEVIEW HOSPITAL,460042,UT,84010,40.88616998241446,-111.86872416293062
DRAPER,LONE PEAK HOSPITAL,460060,UT,84020,40.53541691211239,-111.88925100119239
HEBER CITY,HEBER VALLEY HOSPITAL,461307,UT,84032,40.490005260306944,-111.40616824760788
LAYTON,LAYTON HOSPITAL,460061,UT,84041,41.0522961898919,-111.96877469175783
LAYTON,DAVIS HOSPITAL AND MEDICAL CENTER,460041,UT,84041,41.08971067876015,-111.99467384388011
OREM,TIMPANOGOS REGIONAL HOSPITAL,460052,UT,84057,40.31337525200588,-111.7139662513146
PARK CITY,PARK CITY HOSPITAL,460057,UT,84060,40.68816454926236,-111.46948059559428
RIVERTON,RIVERTON HOSPITAL,460058,UT,84065,40.52056861385218,-111.9802857417843
ROOSEVELT,UINTAH BASIN MEDICAL CENTER,460019,UT,84066,40.3041728978642,-109.99668120126964
TOOELE,MOUNTAIN WEST MEDICAL CENTER,460014,UT,84074,40.566612419975996,-112.2978662573994
VERNAL,ASHLEY REGIONAL MEDICAL CENTER,460030,UT,84078,40.45768487648884,-109.53163679548543
VERNAL,MOUNTAINLANDS COMMUNITY HEALTH CENTER INC,461839,UT,84078,40.226793832303,-111.64334256501294
WEST JORDAN,JORDAN VALLEY MEDICAL CENTER,460051,UT,84088,40.58995318156501,-111.9753606446494
SANDY,ALTA VIEW HOSPITAL,460044,UT,84094,40.57596794664961,-111.85413759178151
SALT LAKE CITY,WASATCH HOMELESS HEALTH CARE,461817,UT,84101,40.76102295807381,-111.90296273570496
SALT LAKE CITY,SALT LAKE REGIONAL MEDICAL CENTER,460003,UT,84102,40.76793115669842,-111.86156755074184
MURRAY,INTERMOUNTAIN MEDICAL CENTER,460010,UT,84107,40.65927003391647,-111.8911506163486
MURRAY,THE ORTHOPEDIC SPECIALTY HOSPITAL,460049,UT,84107,40.64425586098879,-111.8837000362312
HOLLADAY,PRECISION HEALTH SERVICES,464503,UT,84117,40.630164266957344,-111.93831712558385
SALT LAKE CITY,ST MARK'S HOSPITAL,460047,UT,84124,40.686112520582434,-111.85721089362508
SALT LAKE CITY,UNIVERSITY OF UTAH HOSPITALS AND CLINICS,460009,UT,84132,40.77131159459345,-111.83624924817167
SALT LAKE CITY,LDS HOSPITAL,460006,UT,84143,40.77842280310886,-111.88014380351014
BRIGHAM CITY,BRIGHAM CITY COMMUNITY HOSPITAL,460017,UT,84302,41.49120184606022,-112.02598068378951
TREMONTON,BEAR RIVER VALLEY HOSPITAL,460039,UT,84337,41.724381454046664,-112.1826187819288
LOGAN,LOGAN REGIONAL HOSPITAL,460015,UT,84341,41.75571756402917,-111.82215573590031
NORTH LOGAN,CACHE VALLEY  HOSPITAL,460054,UT,84341,41.775635562246414,-111.82096426898319
OGDEN,M C H C - MIDTOWN COMMUNITY HEALTH CENTER,461815,UT,84401,41.22585741197675,-111.96714837822132
OGDEN,LIBERTY DIALYSIS - OGDEN,462540,UT,84403,41.17628822313022,-111.94744873295866
OGDEN,MCKAY DEE HOSPITAL,460004,UT,84403,41.18368362589415,-111.9536113274326
OGDEN,OGDEN REGIONAL MEDICAL CENTER,460005,UT,84405,41.16426445109952,-111.9689487647489
